scenario,total_buckets,total_rows,completed,success_rate,total_steps,avg_steps_completed
MovingAI_eval/Berlin_1_256-even-1.scen,95,950,0,0.0,475000,0
MovingAI_eval/Boston_0_256-even-1.scen,95,950,0,0.0,475000,0
MovingAI_eval/brc202d-even-1.scen,253,2530,0,0.0,1265000,0
MovingAI_eval/den312d-even-1.scen,29,290,0,0.0,145000,0
MovingAI_eval/den520d-even-1.scen,86,860,0,0.0,430000,0
MovingAI_eval/empty-16-16-even-1.scen,5,128,1,0.2,20072,20072.0
MovingAI_eval/empty-32-32-even-1.scen,11,512,2,0.18181818181818182,45241,22620.5
MovingAI_eval/empty-48-48-even-1.scen,17,1152,9,0.5294117647058824,51330,5703.333333333333
MovingAI_eval/empty-8-8-even-1.scen,2,32,0,0.0,10000,0
MovingAI_eval/ht_chantry-even-1.scen,46,460,1,0.021739130434782608,225175,225175.0
MovingAI_eval/ht_mansion_n-even-1.scen,51,510,0,0.0,255000,0
MovingAI_eval/lak303d-even-1.scen,104,1040,0,0.0,520000,0
MovingAI_eval/lt_gallowstemplar_n-even-1.scen,62,620,0,0.0,310000,0
MovingAI_eval/maze-128-128-1-even-1.scen,204,2040,0,0.0,1020000,0
MovingAI_eval/maze-128-128-10-even-1.scen,107,1070,0,0.0,535000,0
MovingAI_eval/maze-128-128-2-even-1.scen,250,2500,0,0.0,1250000,0
MovingAI_eval/maze-32-32-2-even-1.scen,23,230,0,0.0,115000,0
MovingAI_eval/maze-32-32-4-even-1.scen,20,200,0,0.0,100000,0
MovingAI_eval/orz900d-even-1.scen,682,6820,0,0.0,3410000,0
MovingAI_eval/ost003d-even-1.scen,81,810,0,0.0,405000,0
MovingAI_eval/Paris_1_256-even-1.scen,103,1030,0,0.0,515000,0
MovingAI_eval/random-32-32-10-even-1.scen,9,90,0,0.0,45000,0
MovingAI_eval/random-32-32-20-even-1.scen,10,100,1,0.1,47952,47952.0
MovingAI_eval/random-64-64-10-even-1.scen,20,200,1,0.05,96450,96450.0
MovingAI_eval/random-64-64-20-even-1.scen,22,220,0,0.0,110000,0
MovingAI_eval/room-32-32-4-even-1.scen,13,130,0,0.0,65000,0
MovingAI_eval/room-64-64-16-even-1.scen,40,400,2,0.05,190340,95170.0
MovingAI_eval/room-64-64-8-even-1.scen,31,310,0,0.0,155000,0
MovingAI_eval/w_woundedcoast-even-1.scen,197,1970,0,0.0,985000,0
MovingAI_eval/warehouse-10-20-10-2-1-even-1.scen,45,450,23,0.5111111111111111,162228,7053.391304347826
MovingAI_eval/warehouse-10-20-10-2-2-even-1.scen,49,490,13,0.2653061224489796,208972,16074.76923076923
MovingAI_eval/warehouse-20-40-10-2-1-even-1.scen,92,920,7,0.07608695652173914,441281,63040.142857142855
MovingAI_eval/warehouse-20-40-10-2-2-even-1.scen,100,1000,6,0.06,484392,80732.0
