test_case,bucket,num_agents,map_file,completed,steps,max_steps,error
Berlin_1_256-even-1_bucket_11,11,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_4,4,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_33,33,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_42,42,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_17,17,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_60,60,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_46,46,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_67,67,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_24,24,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_26,26,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_41,41,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_0,0,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_27,27,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_30,30,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_64,64,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_39,39,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_10,10,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_14,14,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_3,3,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_2,2,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_8,8,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_37,37,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_21,21,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_92,92,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_86,86,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_58,58,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_87,87,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_85,85,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_19,19,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_54,54,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_31,31,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_45,45,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_88,88,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_43,43,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_48,48,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_56,56,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_59,59,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_77,77,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_83,83,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_51,51,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_71,71,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_50,50,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_35,35,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_5,5,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_13,13,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_23,23,10,Berlin_1_256.map,False,5000,5000,
Berlin_1_256-even-1_bucket_9,9,10,Berlin_1_256.map,False,5000,5000,
