Wall time,Step,Value
1775854308.950429,5,71.0
1775854405.172011,10,272.0
1775854493.7414548,15,45.0
1775854595.7107809,20,61.0
1775854697.9687164,25,127.0
1775854789.7463186,30,584.0
1775854883.7884722,35,735.0
1775854983.8332984,40,363.0
1775855085.8193648,45,371.0
1775855182.8550725,50,122.0
1775855280.2990017,55,495.0
1775855377.254129,60,1109.0
1775855476.8341055,65,46.0
1775855567.3744755,70,906.0
1775855671.3298736,75,94.0
1775855772.510167,80,854.0
1775855865.679995,85,151.0
1775855957.2092881,90,278.0
1775856059.0577366,95,19.0
1775856163.2476585,100,170.0
1775856253.9367912,105,26.0
1775856352.2171373,110,747.0
1775856453.375317,115,52.0
1775856552.2218578,120,653.0
1775856643.2658517,125,1248.0
1775856747.6908164,130,733.0
1775856848.776671,135,1066.0
1775856943.3597012,140,1213.0
1775857035.067764,145,240.0
1775857136.4389935,150,64.0
1775857239.2182086,155,284.0
1775857330.9337544,160,1272.0
1775857426.8380194,165,817.0
1775857524.824067,170,969.0
1775857626.4628427,175,792.0
1775857720.0134356,180,1193.0
1775857819.3884547,185,1228.0
1775857916.3048859,190,262.0
1775858018.2089388,195,1363.0
1775858117.5108345,200,72.0
1775858221.1842518,205,538.0
1775858321.9571352,210,977.0
1775858413.4460657,215,1285.0
1775858512.2986655,220,369.0
1775858616.8401866,225,1067.0
1775858715.0707083,230,1260.0
1775858807.8440115,235,484.0
1775858913.9389608,240,394.0
1775859014.8017495,245,10.0
1775859109.1200318,250,1423.0
1775859203.746913,255,1304.0
1775859307.4064107,260,692.0
1775859413.1340592,265,1323.0
1775859511.5898354,270,363.0
1775859606.1141255,275,242.0
1775859704.0566256,280,783.0
1775859806.26422,285,1171.0
1775859906.7834144,290,692.0
1775860003.6984532,295,893.0
1775860109.4942508,300,30.0
1775860208.4647262,305,757.0
1775860304.9157093,310,719.0
1775860405.0218177,315,782.0
1775860500.9506454,320,355.0
1775860591.9727056,325,148.0
1775860694.117668,330,1398.0
1775860794.0662668,335,1397.0
1775860891.9191463,340,96.0
1775860979.796252,345,274.0
1775861081.96458,350,142.0
1775861182.2571728,355,1388.0
1775861272.2496638,360,390.0
1775861361.9101684,365,697.0
1775861461.2745736,370,3.0
1775861565.5787692,375,1475.0
1775861658.2973192,380,1243.0
1775861754.5364347,385,648.0
1775861853.477605,390,985.0
1775861950.90726,395,23.0
1775862039.76895,400,186.0
1775862140.0382004,405,1092.0
1775862236.893078,410,1373.0
1775862335.9907544,415,257.0
1775862420.2546735,420,1325.0
1775862522.9548712,425,628.0
1775862624.6399536,430,1300.0
1775862716.850408,435,12.0
1775862807.8432744,440,527.0
1775862904.890788,445,470.0
1775863006.52266,450,31.0
1775863097.7105181,455,1426.0
1775863191.5634923,460,41.0
1775863290.7928388,465,69.0
1775863388.7050905,470,1333.0
1775863477.8515694,475,1303.0
1775863577.3885584,480,827.0
1775863675.086742,485,584.0
1775863773.960126,490,1506.0
1775863858.03959,495,27.0
1775863960.642873,500,26.0
1775864061.1928992,505,435.0
1775864154.41639,510,1228.0
1775864243.5151458,515,92.0
1775864339.3886347,520,487.0
1775864442.0463712,525,634.0
1775864534.8415127,530,797.0
1775864627.3541083,535,135.0
1775864726.9954693,540,1078.0
1775864824.3158839,545,1399.0
1775864913.6910913,550,1441.0
1775865010.5328372,555,985.0
1775865108.8286078,560,49.0
1775865209.013414,565,720.0
1775865293.0444357,570,973.0
1775865395.8831806,575,2.0
1775865494.3473284,580,239.0
1775865589.1723979,585,888.0
1775865676.497041,590,218.0
1775865774.7147171,595,726.0
1775865877.0378294,600,608.0
1775865969.4955912,605,1296.0
1775866062.0499384,610,752.0
1775866161.7999647,615,782.0
1775866259.1605396,620,730.0
1775866350.8712895,625,725.0
1775866446.7154386,630,1454.0
1775866545.2362223,635,717.0
1775866644.4299924,640,993.0
1775866732.3412144,645,99.0
1775866836.1672735,650,64.0
1775866937.209829,655,709.0
1775867032.635942,660,2446.0
1775867125.0930254,665,1260.0
1775867223.174887,670,833.0
1775867325.3164604,675,114.0
1775867419.5628405,680,1073.0
1775867513.7894833,685,1151.0
1775867614.4482465,690,264.0
1775867713.3399785,695,777.0
1775867805.7713187,700,852.0
1775867909.9890366,705,1511.0
1775868009.0540752,710,839.0
1775868105.0944722,715,329.0
1775868192.9163077,720,58.0
1775868293.026641,725,1461.0
1775868396.202782,730,290.0
1775868488.5289092,735,879.0
1775868580.6725345,740,130.0
1775868680.1178873,745,1337.0
1775868777.5149515,750,866.0
1775868870.03912,755,121.0
1775868967.1747599,760,295.0
1775869066.891513,765,1460.0
1775869166.4546359,770,756.0
1775869252.776677,775,0.0
1775869356.729462,780,1343.0
1775869456.4725006,785,758.0
1775869552.5708823,790,770.0
1775869644.9492488,795,1353.0
1775869741.9461985,800,1412.0
1775869844.489873,805,109.0
1775869938.9631832,810,171.0
1775870032.755654,815,568.0
1775870134.3607602,820,1259.0
1775870232.2578723,825,617.0
1775870322.5312257,830,1061.0
1775870425.8428426,835,801.0
1775870523.5372381,840,764.0
1775870622.666979,845,614.0
1775870714.9304316,850,1388.0
1775870813.9436393,855,1294.0
1775870917.1049623,860,55.0
1775871011.8144214,865,1575.0
1775871105.5578413,870,1371.0
1775871206.144084,875,132.0
1775871302.4434106,880,1501.0
1775871398.463435,885,1539.0
1775871499.1395154,890,1455.0
1775871596.5094085,895,1439.0
1775871696.484868,900,1643.0
1775871782.8716643,905,190.0
1775871885.7953258,910,1412.0
1775871989.722872,915,386.0
1775872083.6617692,920,820.0
1775872176.9339597,925,723.0
1775872276.0492916,930,1341.0
1775872375.5770032,935,65.0
1775872469.3258002,940,270.0
1775872565.2057898,945,356.0
1775872665.3307397,950,732.0
1775872765.198891,955,136.0
1775872855.053987,960,1429.0
1775872958.7918139,965,979.0
1775873059.6348746,970,4.0
1775873155.2098043,975,1511.0
1775873246.18219,980,162.0
1775873344.379822,985,1516.0
1775873445.3821032,990,148.0
1775873538.5530484,995,124.0
1775873633.2102063,1000,1558.0
1775873734.1840322,1005,1323.0
1775873831.9274747,1010,24.0
1775873923.8914793,1015,386.0
1775874027.0845852,1020,23.0
1775874123.674491,1025,274.0
1775874223.1606297,1030,1414.0
1775874310.061717,1035,161.0
1775874410.7074554,1040,35.0
1775874514.3031347,1045,89.0
1775874607.6269338,1050,1398.0
1775874700.0946174,1055,1281.0
1775874800.182723,1060,1399.0
1775874898.5161493,1065,722.0
1775874993.074602,1070,1509.0
1775875092.6313267,1075,663.0
1775875191.42065,1080,687.0
1775875291.6413453,1085,740.0
1775875377.9983203,1090,1233.0
1775875480.768211,1095,491.0
1775875581.682874,1100,1219.0
1775875677.7371337,1105,60.0
1775875770.4141195,1110,739.0
1775875867.8449214,1115,850.0
1775875968.7843263,1120,646.0
1775876064.6716938,1125,281.0
1775876158.7783096,1130,1450.0
1775876258.569777,1135,236.0
1775876357.334526,1140,596.0
1775876448.550519,1145,11.0
1775876551.2152781,1150,865.0
1775876649.8214066,1155,750.0
1775876746.193686,1160,1122.0
