Wall time,Step,Value
1775854308.950429,5,885.739990234375
1775854405.172011,10,2705.919921875
1775854493.7414548,15,690.75
1775854595.7107809,20,873.3300170898438
1775854697.9687164,25,1296.4599609375
1775854789.7463186,30,5879.52001953125
1775854883.7884722,35,6648.5
1775854983.8332984,40,3691.35009765625
1775855085.8193648,45,3754.429931640625
1775855182.8550725,50,1311.25
1775855280.2990017,55,4454.5
1775855377.254129,60,11496.9599609375
1775855476.8341055,65,853.6900024414062
1775855567.3744755,70,9020.650390625
1775855671.3298736,75,1143.949951171875
1775855772.510167,80,8123.41015625
1775855865.679995,85,1554.02001953125
1775855957.2092881,90,2905.9599609375
1775856059.0577366,95,563.27001953125
1775856163.2476585,100,1802.489990234375
1775856253.9367912,105,622.030029296875
1775856352.2171373,110,6830.75
1775856453.375317,115,932.1699829101562
1775856552.2218578,120,6170.64990234375
1775856643.2658517,125,12275.259765625
1775856747.6908164,130,6480.6298828125
1775856848.776671,135,10721.099609375
1775856943.3597012,140,12006.330078125
1775857035.067764,145,2503.27001953125
1775857136.4389935,150,923.7899780273438
1775857239.2182086,155,2774.570068359375
1775857330.9337544,160,12638.7900390625
1775857426.8380194,165,7405.509765625
1775857524.8230667,170,9559.1103515625
1775857626.4628427,175,7603.240234375
1775857720.0134356,180,11746.259765625
1775857819.3884547,185,11957.6796875
1775857916.3048859,190,2671.64990234375
1775858018.2089388,195,13629.7001953125
1775858117.5108345,200,1038.699951171875
1775858221.1842518,205,5529.02978515625
1775858321.9571352,210,9823.9697265625
1775858413.4460657,215,12684.349609375
1775858512.2986655,220,3915.159912109375
1775858616.8401866,225,10363.5400390625
1775858715.0692062,230,12703.66015625
1775858807.8440115,235,4962.06005859375
1775858913.9389608,240,4066.6201171875
1775859014.8017495,245,644.1599731445312
1775859109.1200318,250,14193.0
1775859203.746913,255,13032.009765625
1775859307.4064107,260,6163.0498046875
1775859413.1340592,265,13200.900390625
1775859511.5898354,270,3764.18994140625
1775859606.1141255,275,2644.050048828125
1775859704.0566256,280,7242.97998046875
1775859806.26422,285,11685.91015625
1775859906.7834144,290,6019.31005859375
1775860003.6984532,295,9233.6396484375
1775860109.4942508,300,735.239990234375
1775860208.4647262,305,7227.35986328125
1775860304.9157093,310,6621.39013671875
1775860405.0218177,315,7347.4501953125
1775860500.9506454,320,3752.239990234375
1775860591.9727056,325,1384.010009765625
1775860694.117668,330,13910.98046875
1775860794.0662668,335,14035.2802734375
1775860891.9191463,340,1361.760009765625
1775860979.796252,345,2925.47998046875
1775861081.96458,350,1590.8900146484375
1775861182.2571728,355,13848.7900390625
1775861272.2496638,360,3995.60009765625
1775861361.9101684,365,6909.169921875
1775861461.2745736,370,373.95001220703125
1775861565.5787692,375,14897.580078125
1775861658.2973192,380,12308.490234375
1775861754.5364347,385,5766.16015625
1775861853.477605,390,10200.8798828125
1775861950.90726,395,652.260009765625
1775862039.76895,400,2209.75
1775862140.0382004,405,11291.009765625
1775862236.893078,410,13739.1298828125
1775862335.9907544,415,2764.739990234375
1775862420.2546735,420,13114.599609375
1775862522.9548712,425,5518.7001953125
1775862624.6399536,430,12916.6201171875
