Wall time,Step,Value
1776118521.4856057,5,177.0
1776118618.2526288,10,376.0
1776118708.1883218,15,112.0
1776118801.8908324,20,490.0
1776118896.3053813,25,306.0
1776118990.6605642,30,495.0
1776119080.2684274,35,146.0
1776119176.2071779,40,11.0
1776119271.9049842,45,228.0
1776119365.8822515,50,680.0
1776119454.0638502,55,8.0
1776119552.4867527,60,797.0
1776119649.3974147,65,5.0
1776119742.755284,70,10.0
1776119828.178211,75,1080.0
1776119927.9917057,80,172.0
1776120025.0937798,85,730.0
1776120116.8131924,90,274.0
1776120206.709874,95,2.0
1776120302.4718344,100,991.0
1776120401.722844,105,789.0
1776120490.0570285,110,102.0
1776120581.8080382,115,144.0
1776120676.1586845,120,467.0
1776120774.5720775,125,706.0
1776120865.262196,130,219.0
1776120957.918603,135,52.0
1776121053.6599581,140,789.0
1776121148.6885867,145,311.0
1776121240.0202067,150,10.0
1776121335.4841003,155,996.0
1776121432.4215453,160,444.0
1776121526.5185702,165,1037.0
1776121613.168848,170,35.0
1776121711.2603283,175,346.0
1776121806.2047174,180,295.0
1776121900.5346959,185,1073.0
1776121987.6584728,190,181.0
1776122087.2085998,195,1507.0
1776122184.43798,200,398.0
1776122275.0699625,205,8.0
1776122363.4329145,210,114.0
1776122460.8956215,215,1105.0
1776122561.0795908,220,69.0
1776122651.3725379,225,16.0
1776122743.276163,230,18.0
1776122840.8388953,235,61.0
1776122940.8684132,240,465.0
1776123033.2100945,245,119.0
1776123135.2129762,250,109.0
1776123236.516373,255,218.0
1776123334.107459,260,68.0
1776123425.9313111,265,119.0
1776123549.6294994,270,1059.0
1776123665.18921,275,59.0
1776123802.5699632,280,1095.0
1776123951.1011505,285,255.0
1776124103.1063259,290,393.0
1776124231.4990802,295,3.0
1776124390.5068314,300,63.0
1776124566.5979304,305,322.0
1776124706.1873858,310,928.0
1776124836.5749836,315,604.0
1776124959.2484314,320,370.0
1776125114.0665228,325,1698.0
1776125244.1969419,330,38.0
1776125406.1609614,335,994.0
1776125545.491704,340,27.0
1776125696.2257004,345,3.0
1776125858.0836985,350,418.0
1776125991.76483,355,1017.0
1776126141.6710238,360,137.0
1776126277.811445,365,958.0
1776126425.3222628,370,264.0
1776126562.7167206,375,411.0
1776126725.2829986,380,1120.0
1776126898.6487951,385,2.0
1776127102.03183,390,1151.0
1776127281.2970817,395,1427.0
1776127473.7712903,400,130.0
1776127639.337293,405,535.0
1776127803.787039,410,1152.0
1776127964.2318845,415,570.0
